,actual,forecast,lower_95,upper_95
1703,35.88,48.86363355177081,10.427377958675713,87.29988914486592
1704,44.9,35.25444990852586,23.989613587044005,46.51928623000771
1705,39.59,33.63238496891238,17.53792398245233,49.72684595537244
1706,37.78,32.81651009361521,13.356673338156654,52.27634684907376
1707,35.43,32.59886919059468,10.526180540024733,54.67155784116462
1708,37.29,33.67154073862996,9.468647910912125,57.87443356634779
1709,41.41,36.286128972373234,10.29626874996477,62.2759891947817
1710,42.78,40.61836751314708,13.100717844571196,68.13601718172296
1711,50.34,48.830625669242586,19.988671393689692,77.67257994479547
1712,57.25,53.757484439592155,23.755396492242035,83.75957238694227
1713,49.62,53.83580163376993,22.808713039361717,84.86289022817814
1714,47.57,53.91369607287107,21.974555127165747,85.8528370185764
1715,44.64,54.79401479255807,22.038374496477665,87.54965508863847
1716,43.33,53.76877530016096,20.2782662042925,87.25928439602941
1717,42.61,53.5552373558627,19.400161550523613,87.71031316120178
1718,42.05,54.25792641104342,19.499242668170496,89.01661015391635
1719,42.31,57.24252121762533,21.933395082555023,92.55164735269564
1720,43.28,61.279953307082614,25.46698809947661,97.09291851468862
1721,44.98,68.31592757786115,32.04015607959886,104.59169907612343
1722,42.93,64.01800444789441,27.315697637023206,100.72031125876562
1723,39.71,58.14088196114805,21.04421553731661,95.23754838497948
1724,37.11,51.6814544744595,14.219063237300006,89.143845711619
1725,34.24,48.84942163034212,11.046864291526305,86.65197896915794
1726,34.01,45.92527012187761,7.8054217852475745,84.04511845850764
1727,27.39,42.09343611370465,3.6768217667033127,80.51005046070598
1728,18.96,27.734657277616844,16.51901211652894,38.950302438704746
1729,15.82,26.148550130404743,10.124238952903323,42.17286130790616
1730,19.0,25.519013106643033,6.140078118578714,44.89794809470735
1731,24.14,25.369397635417897,3.3833819009992894,47.355413369836505
1732,27.0,26.73372171000417,2.620268656830934,50.84717476317741
1733,35.94,29.741613336574712,3.8419952640702135,55.64123140907921
1734,40.96,34.27928539802244,6.851351100682372,61.707219695362504
1735,54.51,42.855183528524734,14.10151049241425,71.60885656463522
1736,60.64,48.272714264856276,18.356860561503048,78.1885679682095
1737,54.96,47.897006457890996,16.953704471114005,78.84030844466798
1738,56.5,47.78816295779338,15.930116352046632,79.64620956354014
1739,55.34,48.4744642837598,15.797097463353587,81.151831104166
1740,50.1,47.573343364799086,14.158245054011054,80.98844167558713
1741,48.05,47.43886735706269,13.356362706787259,81.52137200733813
1742,48.04,48.12703907864561,13.438158188869473,82.81591996842175
1743,52.01,51.038199087640294,15.796214336920691,86.2801838383599
1744,61.06,54.74243401247335,18.99408118381433,90.49078684113238
1745,64.12,61.53494256388477,25.321404855539463,97.74848027223007
1746,60.4,57.173682340849794,20.53139311858567,93.81597156311392
1747,50.45,51.686636796881324,14.647941458810486,88.72533213495217
1748,41.79,45.59145321469988,8.185159946296814,82.99774648310296
1749,40.71,42.85535517466208,5.107196956207211,80.60351339311694
1750,37.75,40.24665591615134,2.1796808467051676,78.31363098559751
1751,34.62,36.29344956321967,-2.071647289818138,74.65854641625748
1752,33.03,33.74232811201435,22.579555145985193,44.9051010780435
1753,32.43,31.83636268093504,15.88028469847293,47.792440663397144
1754,31.58,31.117061903528903,11.82211065142284,50.412013155634966
1755,30.84,31.05300687824085,9.166239725341331,52.939774031140374
1756,31.68,32.1520488181585,8.15249236513759,56.151605271179406
1757,36.81,35.16831025529213,9.396575435115341,60.940045075468916
1758,41.87,39.59550062958002,12.308753905681435,66.88224735347862
1759,46.21,48.24750556345511,19.647633600282795,76.84737752662741
1760,56.14,53.287262974377896,23.537133597279134,83.03739235147665
1761,47.71,52.64484380704721,21.878506884679666,83.41118072941475
1762,46.23,52.484773722439634,20.81426380356417,84.1552836413151
1763,43.82,52.993058462967625,20.513148640255814,85.47296828567943
1764,41.22,51.59860438496166,18.390253198259728,84.8069555716636
1765,40.04,51.17922943768693,17.312155388697597,85.04630348667627
1766,39.47,51.718425302509004,17.253077021183486,86.18377358383452
1767,41.17,54.67620560294873,19.665300190941053,89.6871110149564
1768,45.91,58.73784588359936,23.227590541185492,94.24810122601323
1769,55.49,65.42437618899837,29.455452314609467,101.39330006338727
1770,54.51,60.81349046795818,24.421856172515007,97.20512476340136
1771,48.1,54.737373133585145,17.95492461307734,91.51982165409295
1772,47.14,48.17132312281645,11.026444727462682,85.31620151817023
1773,40.88,45.44435244841623,7.962377861312568,82.9263270355199
1774,40.02,42.593614056967056,4.797215688399326,80.39001242553479
1775,38.03,38.75373401155542,0.6632538528050063,76.84421417030583
1776,37.3,37.32643041494713,26.22114081588564,48.431720014008626
1777,36.91,35.347811720448284,19.48370267699638,51.21192076390019
1778,36.98,34.209003348622204,15.028280590495534,53.389726106748874
1779,39.44,33.63498791655468,11.879001867652427,55.39097396545693
1780,42.16,34.44232313230239,10.586606444148739,58.29803982045604
1781,45.34,37.11997611462217,11.502734227437706,62.73721800180663
1782,58.6,41.397141741777155,14.273773264568053,68.52051021898626
1783,79.9,49.35901756128675,20.93005529656132,77.78797982601218
1784,88.82,54.52365284447495,24.950898230714454,84.09640745823545
1785,89.27,53.49335759770806,22.91000331777342,84.07671187764271
1786,89.63,53.03340831352317,21.550789264467582,84.51602736257875
1787,91.05,53.318126536599095,21.03043788589836,85.60581518729984
